"phi_0","gradPhi_0","gradPhi_1","Points:0","Points:1","Points:2"
-0.23646,1.7675,1.5038e-07,-0.13333,2,0
-0.2953,1.7626,3.8075e-06,-0.16667,2,0
-0.4124,1.7495,2.593e-06,-0.23333,2,0
-0.47058,1.7415,-9.2001e-07,-0.26667,2,0
-0.58608,1.7227,-5.5969e-06,-0.33333,2,0
-0.64332,1.712,-3.6969e-06,-0.36667,2,0
-0.75668,1.6882,-3.1191e-06,-0.43333,2,0
-0.81274,1.6753,7.0353e-06,-0.46667,2,0
-0.92352,1.6475,-2.0104e-06,-0.53333,2,0
-0.97819,1.6329,-1.6486e-06,-0.56667,2,0
-1.086,1.6022,-1.1639e-06,-0.63333,2,0
-1.1392,1.5862,-7.554e-06,-0.66667,2,0
-1.2438,1.5536,-5.5106e-06,-0.73333,2,0
-1.2953,1.5369,-1.3724e-07,-0.76667,2,0
-1.3967,1.5032,3.114e-06,-0.83333,2,0
-1.4465,1.4862,-7.1762e-06,-0.86667,2,0
-1.5445,1.4523,-3.56e-06,-0.93333,2,0
-1.5926,1.4353,1.1414e-05,-0.96667,2,0
-1.6872,1.4017,1.2359e-05,-1.0333,2,0
-1.7336,1.3852,8.8103e-06,-1.0667,2,0
-1.8248,1.3525,3.1419e-06,-1.1333,2,0
-1.8697,1.3364,-5.0364e-06,-1.1667,2,0
-1.9577,1.3049,-3.2041e-06,-1.2333,2,0
-2.001,1.2895,2.2013e-07,-1.2667,2,0
-2.0859,1.2593,1.2346e-06,-1.3333,2,0
-2.1276,1.2446,-3.2836e-06,-1.3667,2,0
-2.2096,1.2158,-2.2385e-07,-1.4333,2,0
-2.2499,1.2018,5.8519e-06,-1.4667,2,0
-2.3291,1.1744,-7.6874e-06,-1.5333,2,0
-2.3681,1.161,-6.7849e-06,-1.5667,2,0
-2.4446,1.1348,-9.2959e-07,-1.6333,2,0
-2.4822,1.122,4.9029e-06,-1.6667,2,0
-2.5561,1.0968,-8.3925e-06,-1.7333,2,0
-2.5925,1.0844,6.5935e-06,-1.7667,2,0
-2.664,1.0599,-2.5892e-06,-1.8333,2,0
-2.6991,1.0479,-1.2002e-05,-1.8667,2,0
-2.7682,1.0239,-6.4916e-06,-1.9333,2,0
-2.8021,1.0119,-7.4934e-06,-1.9667,2,0
0,2.3728,2.0539e-05,0,1.1,0
0,2.2077,-5.2944e-05,0,1.2,0
0,2.0833,1.7987e-05,0,1.3,0
0,1.9887,-1.4922e-06,0,1.4,0
0,1.9168,-1.659e-07,0,1.5,0
0,1.8628,-1.0822e-06,0,1.6,0
0,1.8237,-6.1263e-07,0,1.7,0
0,1.797,-4.9028e-07,0,1.8,0
0,1.7816,-1.9544e-07,0,1.9,0
0,2.5136,1.6633e-06,0,1.0333,0
0,2.4397,1.6223e-05,0,1.0667,0
0,2.3124,8.9599e-07,0,1.1333,0
0,2.2575,1.845e-05,0,1.1667,0
0,2.1624,6.3613e-06,0,1.2333,0
0,2.121,5.0347e-06,0,1.2667,0
0,2.0488,-1.0535e-05,0,1.3333,0
0,2.0174,-2.8018e-06,0,1.3667,0
0,1.9625,-1.1149e-07,0,1.4333,0
0,1.9386,2.1764e-06,0,1.4667,0
0,1.897,3.2129e-07,0,1.5333,0
0,1.8791,4.9229e-07,0,1.5667,0
0,1.8483,8.0948e-07,0,1.6333,0
0,1.8352,1.5163e-06,0,1.6667,0
0,1.8135,-8.5028e-07,0,1.7333,0
0,1.8046,1.0595e-06,0,1.7667,0
0,1.7907,5.8273e-07,0,1.8333,0
0,1.7855,-5.2173e-07,0,1.8667,0
0,1.7787,4.3705e-07,0,1.9333,0
0,1.777,-3.021e-07,0,1.9667,0
-1.9325,1.3137,0.045397,-1.2125,1.9036,0
-1.9421,1.0872,1.0524,-0.81984,0.70428,0
-1.4059,1.5014,0.055938,-0.83744,1.8905,0
-2.966,0.99296,0.27039,-1.9133,0.78039,0
-1.3323,1.7772,0.95073,-0.55754,0.92487,0
-2.3093,0.58514,0.79891,-0.99201,0.46763,0
-0.9383,1.6463,0.042541,-0.54107,1.9031,0
-2.7696,1.0331,0.18997,-1.8806,1.4332,0
-2.712,0.66989,0.070799,-1.452,0.083339,0
-0.23578,1.9586,0.092173,-0.11976,1.4183,0
-3.0392,0.97193,0.20914,-1.9108,0.47242,0
-2.297,1.1853,0.035706,-1.5048,1.9129,0
-0.91266,2.106,0.70803,-0.38133,1.0144,0
-2.4824,0.35793,0.45958,-1.0853,0.26305,0
-2.8284,0.78803,0.058666,-1.6116,0.088959,0
-0.59749,1.7235,0.026163,-0.33933,1.9169,0
-1.6744,1.4066,0.046925,-1.0227,1.9066,0
-2.9077,1.005,0.27286,-1.9069,0.96996,0
-0.16617,1.8466,0.038047,-0.089804,1.6239,0
-2.7727,1.0281,0.13147,-1.9132,1.6224,0
-0.17309,2.1527,0.10353,-0.080121,1.2319,0
-3.0724,0.96141,0.13682,-1.9107,0.2818,0
-2.5237,1.1078,0.033897,-1.7025,1.9101,0
-2.6039,0.49063,0.12092,-1.2697,0.098809,0
-0.15652,1.7904,0.016957,-0.087288,1.812,0
-0.41467,2.3399,0.33909,-0.17282,1.0713,0
-2.9951,0.90267,0.046924,-1.8083,0.087378,0
-2.7455,1.0332,0.068123,-1.905,1.8091,0
-1.7755,1.2989,1.06,-0.74947,0.78215,0
-1.7715,1.3143,0.90146,-0.79996,0.85376,0
-1.924,1.1492,0.90493,-0.8683,0.77839,0
-1.9123,1.197,0.78091,-0.91441,0.85671,0
-1.7697,1.3289,0.77132,-0.84633,0.92948,0
-1.9026,1.2359,0.67459,-0.95661,0.94081,0
-1.7638,1.3461,0.65869,-0.88694,1.0139,0
